Time (s);Horizontal Wave Bending Moment (N.m);Vertical Wave Bending Moment (N.m);Torsional Wave Bending Moment  (N.m)
0.0;43715.8828125;1490903.75;1195.84497070313
0.1;43586.7421875;1452355.5;1005.39916992188
0.2;43176.6796875;1372997.25;821.324584960938
0.3;42483.41796875;1248212.25;620.12158203125
0.4;41526.9765625;1078533.5;367.900146484375
0.5;40309.32421875;870535.125;32.4064331054688
0.6;38828.2421875;636488.375;-404.571350097656
0.7;37088.7578125;392803.6875;-936.434692382813
0.8;35076.87890625;157558.6875;-1527.2119140625
0.9;32789.2109375;-52607.078125;-2112.62255859375
1;30221.970703125;-225311.65625;-2608.3349609375
1.1;27386.10546875;-354768.3125;-2923.57275390625
1.2;24303.5625;-442781.125;-2977.6396484375
1.3;21000.283203125;-498414.5;-2716.60595703125
1.4;17488.15234375;-536471.75;-2126.17211914063
1.5;13848.197265625;-574262.5;-1238.05322265625
1.6;10155.798828125;-628982;-129.433776855469
1.7;6459.212890625;-713767;1085.97705078125
1.8;2720.97192382813;-835319.375;2273.0146484375
1.9;-912.390869140625;-992548.25;3296.22314453125
2;-4475.9306640625;-1176267.25;4037.4306640625
2.1;-7948.74072265625;-1370691.75;4414.23046875
2.2;-11321.638671875;-1555819;4390.6064453125
2.3;-14598.3525390625;-1710551.75;3980.4287109375
2.4;-17766.46484375;-1815954.75;3243.1337890625
2.5;-20865.89453125;-1857948.25;2271.8291015625
2.6;-23799.75;-1828775;1178.57971191406
2.7;-26668.09765625;-1727591.25;75.2594604492188
2.8;-29374.97265625;-1560138.25;-939.9443359375
2.9;-31899.63671875;-1336619.75;-1794.81884765625
3;-34233.421875;-1069774.25;-2448.75341796875
3.1;-36353.75;-772462.625;-2890.77685546875
3.2;-38227.86328125;-455926.5;-3133.7646484375
3.3;-39837.40625;-128749.875;-3204.86767578125
3.4;-41167.03515625;203231.03125;-3135.35498046875
3.5;-42209.15625;536189.75;-2951.99365234375
3.6;-42958.609375;866951.875;-2672.3505859375
3.7;-43409.9453125;1191542.25;-2304.20849609375
3.8;-43566.4453125;1503917.75;-1849.67126464844
3.9;-43413.6953125;1795428.25;-1311.58288574219
4;-42963.65234375;2055113;-701.236694335938
4.1;-42196.40625;2270871.5;-43.990234375
4.2;-41096.76953125;2431288;618.167724609375
4.3;-39686.25390625;2527795.5;1228.89794921875
4.4;-37954.08984375;2556442.5;1724.869140625
