Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
0.0;3464.8642578125;-29441384;6280.2763671875
0.5;2059.07739257813;-22045844;6087.5625
1;-187.339004516602;-7395344;4603.7021484375
1.5;-2047.17529296875;9391948;-1331.24682617188
2;-2950.75708007813;23352100;-8708.779296875
2.5;-2813.7490234375;30752528;-11798.494140625
3;-1629.01721191406;30034984;-8880.8017578125
3.5;359.421875;21834828;-3040.47802734375
4;2506.4755859375;8466992;1577.47131347656
4.5;4005.4970703125;-6785857;3694.03955078125
5;4298.96630859375;-20366748;4983.19873046875
5.5;3336.88330078125;-29275908;6597.82470703125
6;1409.89636230469;-31881248;7614.2998046875
6.5;-1094.41345214844;-28166336;6691.595703125
7;-3641.5126953125;-19445052;3196.2265625
7.5;-5472.962890625;-7973651;-2168.09594726563
8;-6036.3828125;3524319.5;-6614.18359375
8.5;-5301.0634765625;12528534;-7482.4248046875
9;-3471.4697265625;17358528;-5625.869140625
9.5;-721.308166503906;17538484;-4035.66772460938
10;2524.666015625;13811472;-3513.48754882813
10.5;5385.4638671875;7778134;-2063.1318359375
11;6992.86181640625;1355386.625;1689.82165527344
11.5;7054.2646484375;-3679291;5914.7783203125
12;5841.3720703125;-6097060;7080.4365234375
12.5;3744.75122070313;-5591685;4139.62841796875
13;1062.69067382813;-2794413.5;-31.330810546875
13.5;-1770.03857421875;1142003.5;-2237.3564453125
14;-4133.40185546875;4980156;-2321.66259765625
14.5;-5524.03173828125;7651567;-1980.44250488281
15;-5808.1669921875;8492078;-2099.09301757813
15.5;-5138.5263671875;7431320;-2176.8447265625
16;-3784.9228515625;4930031;-1280.25561523438
16.5;-2062.29833984375;1713430.5;755.745849609375
17;-292.954956054688;-1486637.75;2812.0703125
17.5;1256.37414550781;-4091021.5;3524.83447265625
18;2427.6806640625;-5743376;2708.8310546875
18.5;3155.70288085938;-6323350;1295.79797363281
19;3412.591796875;-5940183;223.4970703125
19.5;3204.248046875;-4885155;-294.306884765625
20;2617.7138671875;-3519261.5;-705.758483886719
20.5;1808.29418945313;-2175983.5;-1415.18322753906
21;908.398498535156;-1144036.5;-2108.95825195313
21.5;-12.6103515625;-659496.9375;-2076.93603515625
22;-888.09619140625;-843223.0625;-1175.64733886719
22.5;-1593.744140625;-1639618;-34.8828125
