Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
0.0;9567110;-407637.875;-240755.609375
0.5;8621784;-903998;247963.65625
1;6170707;-830359.5;612466.25
1.5;2626360.25;-247002.75;721380
2;-1468412;605262.625;561246.75
2.5;-5593220;1406294.25;202943.21875
3;-9290914;1885422;-239761.625
3.5;-12149922;1890410.5;-628879.3125
4;-13770311;1397885;-844246.6875
4.5;-13773002;488571;-822366.625
5;-11865706;-659420.5;-558931
5.5;-7939511;-1785780.25;-104159.46875
6;-2170264.5;-2622967.5;438047.1875
6.5;4917829.5;-2973649.5;933939.3125
7;12456902;-2732366;1257746.75
7.5;19316718;-1895327;1317607.5
8;24273544;-587273;1073803.125
8.5;26246246;941704.25;554388.5625
9;24533188;2370160;-141876.96875
9.5;18997412;3382926;-860528.4375
10;10164346;3746703;-1426309.625
10.5;-814115.5;3360057;-1693366.625
11;-12334037;2268390.25;-1589460
11.5;-22602264;670357.125;-1137782.625
12;-29941370;-1096160.25;-454376.75
12.5;-33096340;-2635634.5;283860.3125
13;-31472250;-3613026.25;896651.1875
13.5;-25242562;-3825126;1254919.875
14;-15316429;-3227503.5;1308906.625
14.5;-3179234.5;-1954687.5;1089622.875
15;9366428;-307142;688456.5
15.5;20501246;1327924.375;220836.3125
16;28666900;2582732.25;-209123.15625
16.5;32781000;3194892.5;-527704.625
17;32364118;3062297.25;-696347.375
17.5;27564476;2261711.5;-712333
18;19090704;1027583.625;-607934.125
18.5;8081797;-309430.21875;-443045.375
19;-4057925.75;-1411816.875;-288668.4375
19.5;-15831806;-2029965;-203571.234375
20;-25808264;-2063563.875;-209772.390625
20.5;-32754280;-1572560.875;-277799.96875
21;-35749156;-750928.125;-334578.875
21.5;-34279396;128293.25;-295308
22;-28312318;794044.5;-104284.875
22.5;-18340556;1060281.5;235001.53125
23;-5384518;877915;653540.25
23.5;9066336;342285;1036657.4375
24;23185674;-338924.5;1261049.5
24.5;35015704;-908761.5;1233364.5
25;42731924;-1141839;917299.1875
25.5;44935400;-918826;343931.4375
26;40923240;-265991;-393086.5625
26.5;30879464;641506;-1152625.5
27;15937384;1531314.25;-1768864.25
27.5;-1918271.5;2113627.25;-2082889.625
28;-20111564;2168306.5;-1982737.75
28.5;-35865020;1613149.5;-1443683.625
29;-46655332;536309.5;-552593.4375
29.5;-50653896;-818692.3125;501605.625
30;-47067740;-2112324;1476950.75
30.5;-36310560;-2998571.5;2150525.5
31;-19965916;-3215119;2382384.75
31.5;-544333.25;-2659368;2145229.75
32;18925826;-1423975.5;1513179.25
32.5;35399836;219552.25;625468.375
33;46318648;1884372.875;-351947.1875
33.5;50021812;3163994.25;-1253072.5
34;46001428;3737727;-1929002.5
34.5;34957712;3457007;-2265558
35;18654056;2381798.5;-2206537
35.5;-390074.40625;765696;-1775386.75
36;-19309540;-1008716;-1080045.25
36.5;-35334724;-2527154.75;-289044.875
37;-46190664;-3447588.75;419188
37.5;-50396992;-3581438.5;914289.25
38;-47435468;-2933698.75;1151214.625
